SalesOrderID,OrderDate,CustomerID,TotalDue,SalesPersonID,TerritoryID
43659,5/31/2011,29825,23153.2339,279,5
43660,5/31/2011,29672,1457.3288,279,5
43661,5/31/2011,29734,36865.8012,282,6
43662,5/31/2011,29994,32474.9324,282,6
43663,5/31/2011,29565,472.3108,276,4
43664,5/31/2011,29898,27510.4109,280,1
43665,5/31/2011,29580,16158.6961,283,1
43666,5/31/2011,30052,5694.8564,276,4
43667,5/31/2011,29974,6876.3649,277,3
43668,5/31/2011,29614,40487.7233,282,6
43669,5/31/2011,29747,807.2585,283,1
43670,5/31/2011,29566,6893.2549,275,3
43671,5/31/2011,29890,9153.6054,283,1
43672,5/31/2011,30067,6895.41,282,6
43673,5/31/2011,29844,4216.0258,275,2
43674,5/31/2011,29596,2955.0542,282,6
43675,5/31/2011,29827,6434.0848,277,3
43676,5/31/2011,29811,15992.7446,275,5
43677,5/31/2011,29824,8773.681,278,6
43678,5/31/2011,29889,11036.3964,281,4
43679,5/31/2011,29761,1481.1742,278,6
43680,5/31/2011,29489,12832.9009,281,4
43681,5/31/2011,29661,15524.0686,279,5
43682,5/31/2011,29759,4363.7107,275,2
43683,5/31/2011,29497,48204.0662,283,1
43684,5/31/2011,29912,6301.6258,279,5
43685,5/31/2011,30084,3082.0191,279,5
43686,5/31/2011,29606,3899.6756,283,1
43687,5/31/2011,29610,1416.9322,275,2
43688,5/31/2011,29718,14323.1194,275,2
43689,5/31/2011,29646,38291.2063,277,4
43690,5/31/2011,29533,1460.6061,275,3
43691,5/31/2011,29570,985.018,277,4
43692,5/31/2011,29992,43362.4196,281,4
43693,5/31/2011,29491,23126.45,275,5
43694,5/31/2011,29549,23242.1865,279,5
43695,5/31/2011,29958,44344.8265,279,5
43696,5/31/2011,29849,472.3108,279,5
43697,5/31/2011,21768,3953.9884,,6
43698,5/31/2011,28389,3756.989,,7
43699,5/31/2011,25863,3756.989,,1
43700,5/31/2011,14501,772.5036,,4
43701,5/31/2011,11003,3756.989,,9
43702,6/1/2011,27645,3953.9884,,4
43703,6/1/2011,16624,3953.9884,,9
